web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Sangaré,Nott'm Forest,MID,1,0.06,0.09,59.0,142.3,116.0,330.2
S.Bueno,Wolves,DEF,2,0.08,0.05,67.4,98.1,149.0,428.0
Ajer,Brentford,DEF,1,0.04,0.04,57.5,58.1,161.0,354.4
Janelt,Brentford,MID,1,0.06,0.14,72.5,313.6,91.0,329.0
Wieffer,Brighton,MID,2,0.09,0.11,79.6,260.6,170.0,364.2
Cullen,Burnley,MID,1,0.06,0.08,66.0,218.1,98.0,342.0
Sels,Nott'm Forest,GKP,2,0.0,0.0,48.3,10.0,0.0,473.0
Georginio,Brighton,MID,3,0.13,0.12,92.2,291.5,368.0,263.6
L.Paquetá,West Ham,MID,3,0.17,0.12,95.7,397.2,186.0,374.6
Henderson,Brentford,MID,1,0.02,0.12,66.2,320.4,43.0,299.2
Talbi,Sunderland,MID,1,0.11,0.07,54.0,183.3,170.0,191.4
Okafor,Leeds,MID,0,0.3,0.07,77.7,199.8,322.0,254.6
Merino,Arsenal,MID,1,0.27,0.13,72.6,187.0,237.0,304.4
Onana,Aston Villa,MID,1,0.08,0.03,53.7,86.0,125.0,326.8
Estève,Burnley,DEF,2,0.03,0.02,73.4,89.5,88.0,554.6
Gana,Everton,MID,1,0.08,0.05,71.2,223.2,174.0,313.6
Yeremy,Crystal Palace,MID,3,0.21,0.25,116.0,573.4,318.0,271.0
Florentino,Burnley,MID,1,0.03,0.02,56.3,173.2,44.0,343.4
Jensen,Brentford,MID,3,0.12,0.24,82.0,394.7,153.0,273.4
Flemming,Burnley,FWD,0,0.43,0.02,75.7,102.1,362.0,301.6
Smith Rowe,Fulham,MID,0,0.26,0.06,82.2,256.3,321.0,244.2
Nmecha,Leeds,FWD,0,0.7,0.1,66.5,80.7,331.0,252.2
Botman,Newcastle,DEF,1,0.1,0.02,54.3,50.0,134.0,358.8
J.Murphy,Newcastle,MID,3,0.21,0.18,87.8,319.6,303.0,264.4
Bentancur,Spurs,MID,1,0.03,0.04,51.6,159.7,85.0,268.6
Wilson,West Ham,FWD,0,0.59,0.03,70.5,93.6,396.0,226.8
